years,winners,losers,games,ratings_winners,ratings_losers
1997,Chicago Bulls,Utah Jazz,6,102.1,100.6
1998,Chicago Bulls,Utah Jazz,6,101.5,91.9
1999,San Antonio Spurs,New York Knicks,5,96.8,87.8
2000,Los Angeles Lakers,Indiana Pacers,6,107.4,112.3
2001,Los Angeles Lakers,Philadelphia 76ers,5,108.1,98.5
2002,Los Angeles Lakers,New Jersey Nets,4,114.9,102.2
2003,San Antonio Spurs,New Jersey Nets,6,96.7,89.5
2004,Detroit Pistons,Los Angeles Lakers,5,103.6,91.9
2005,San Antonio Spurs,Detroit Pistons,7,99.5,101.3
2006,Miami Heat,Dallas Mavericks,6,98.9,96.9
2007,San Antonio Spurs,Cleveland Cavaliers,4,102.5,93.3
2008,Boston Celtics,Los Angeles Lakers,6,109.1,100.9
2009,Los Angeles Lakers,Orlando Magic,5,107.1,96.6
2010,Los Angeles Lakers,Boston Celtics,7,101.8,97.8
2011,Dallas Mavericks,Miami Heat,6,107.1,103.3
2012,Miami Heat,Oklahoma City Thunder,5,111.1,105.5
2013,Miami Heat,San Antonio Spurs,7,106.1,104.5
2014,San Antonio Spurs,Miami Heat,5,118.5,101.3
2015,Golden State Warriors,Cleveland Cavaliers,6,104.4,93.8
2016,Cleveland Cavaliers,Golden State Warriors,7,105.3,104.7
