years,winners,losers,games,ratings_winners,ratings_losers
1997,Chicago Bulls,Utah Jazz,6,100.6,102.1
1998,Chicago Bulls,Utah Jazz,6,91.9,101.5
1999,San Antonio Spurs,New York Knicks,5,87.8,96.8
2000,Los Angeles Lakers,Indiana Pacers,6,112.3,107.4
2001,Los Angeles Lakers,Philadelphia 76ers,5,98.5,108.1
2002,Los Angeles Lakers,New Jersey Nets,4,102.2,114.9
2003,San Antonio Spurs,New Jersey Nets,6,89.5,96.7
2004,Detroit Pistons,Los Angeles Lakers,5,91.9,103.6
2005,San Antonio Spurs,Detroit Pistons,7,101.3,99.5
2006,Miami Heat,Dallas Mavericks,6,97.0,98.9
2007,San Antonio Spurs,Cleveland Cavaliers,4,93.3,102.5
2008,Boston Celtics,Los Angeles Lakers,6,100.9,109.1
2009,Los Angeles Lakers,Orlando Magic,5,96.6,107.1
2010,Los Angeles Lakers,Boston Celtics,7,97.8,101.8
2011,Dallas Mavericks,Miami Heat,6,103.3,107.1
2012,Miami Heat,Oklahoma City Thunder,5,105.5,111.1
2013,Miami Heat,San Antonio Spurs,7,104.5,106.1
2014,San Antonio Spurs,Miami Heat,5,101.3,118.5
2015,Golden State Warriors,Cleveland Cavaliers,6,93.8,104.4
2016,Cleveland Cavaliers,Golden State Warriors,7,104.7,105.3
